calibration.type,calibration,slope,intercept,vcov,Notes
MgCa,Ten planktonic species_350-500,0.09,-0.967584026261706,2.98944228590638e-06|-6.51719441846461e-05|-6.51719441846461e-05|0.00146844284866231,"G. ruber white, G. ruber pink, G. sacculifer, G. conglobatus, G. aequilateralis, O. universa, N. dutertrei, P. obliquiloculata, G. inflata, G. truncatulinoides, G. hirsuta, G. crassaformis"
MgCa,G. aequilateralis_350-500,0.09,-0.631111789640493,9.37727377229358e-06|-0.00020121190259694|-0.00020121190259694|0.00466006289036926,
MgCa,G. aequilateralis_500-1000,0.0974016949943675,-0.719050523891093,9.37727377229358e-06|-0.000203582222720862|-0.000203582222720862|0.00502978544829565,
MgCa,G. conglobatus_350-500,0.09,-1.05843049903528,9.37727377229358e-06|-0.000208300646374666|-0.000208300646374666|0.00570938930321268,
MgCa,G. hirsuta_350-500,0.09,-0.894040122939335,9.37727377229358e-06|-0.000132846436366081|-0.000132846436366081|0.00233436136145702,
MgCa,G. inflata_350-500,0.09,-1.20731170559145,9.37727377229358e-06|-0.000170585185899143|-0.000170585185899143|0.00422630771331833,
MgCa,G. ruber pink_250-350,0.09,-0.964955903855436,9.37727377229358e-06|-0.000234350652813003|-0.000234350652813003|0.0061876877754544,
MgCa,G. ruber pink_350-500,0.09,-0.959720289801491,9.37727377229358e-06|-0.000238096179998304|-0.000238096179998304|0.00637721092015591,
MgCa,G. ruber white_250-350,0.09,-0.800732391239883,9.37727377229358e-06|-0.000226915814846759|-0.000226915814846759|0.00580772223253649,
MgCa,G. ruber white_350-500,0.09,-0.928869514081015,9.37727377229358e-06|-0.000230379225497796|-0.000230379225497796|0.00595305389553235,
MgCa,G. sacculifer with sac_350-500,0.09,-0.975510091534126,9.37727377229358e-06|-0.000230957117491597|-0.000230957117491597|0.00636301589857893,
MgCa,G. sacculifer without sac_350-500,0.09,-1.05843049903528,9.37727377229358e-06|-0.000225622228226655|-0.000225622228226655|0.00598639737790575,
MgCa,G. truncatulinoides_350-500,0.09,-1.02443289049386,9.37727377229358e-06|-0.000166878252109912|-0.000166878252109912|0.00326491228959438,
MgCa,G. truncatulinoides_500-1000,0.0974016949943675,-1.16053042555048,9.37727377229358e-06|-0.000164097302860343|-0.000164097302860343|0.00372146666983572,
MgCa,N. dutertrei_350-500,0.09,-1.07294454191953,9.37727377229358e-06|-0.00019251252713545|-0.00019251252713545|0.00436437656997082,
MgCa,O. univesa_350-500,0.0974016949943675,-0.792043346022733,9.37727377229358e-06|-0.000214790882325885|-0.000214790882325885|0.00576105438326098,
MgCa,P. obliquiloculata_350-500,0.09,-1.11474167059799,9.37727377229358e-06|-0.000190300599638567|-0.000190300599638567|0.0044120672500095,
Uk37,Mueller global,0.033,0.044,1.46053818728255e-07|-2.80815422746781e-06|-2.80815422746781e-06|6.06536807458765e-05,
